"CasinoManufacturerId,""CasinoManufacturerName"",""FromDate"",""ToDate"",""LatestFlag"""
130,Gong Gaming Technologies,2024-05-29 11:13:25.557,,1
131,HalfPixelStudios,2022-08-25 12:15:36.583,2025-01-22 15:08:43.667,0
131,Half Pixel Studios,2025-01-22 15:08:43.667,,1
132,InfinityDragonStudios,2022-08-25 12:15:36.583,,1
133,INOGames,2022-08-25 12:15:36.583,,1
134,JustForTheWin,2022-08-25 12:15:36.583,,1
135,NekoGames,2022-08-25 12:15:36.583,2024-07-03 14:40:48.860,0
135,Neko Games,2024-07-03 14:40:48.860,,1
136,NeonValleyStudios,2022-08-25 12:15:36.583,2024-09-13 07:31:35.403,0
136,Neon Valley Studios,2024-09-13 07:31:35.403,,1
137,NorthernLightsGaming,2022-08-25 12:15:36.583,2024-05-01 13:04:15.477,0
137,Northern Lights Gaming,2024-05-01 13:04:15.477,,1
138,OnAirEntertainment,2022-08-25 12:15:36.583,2024-05-09 08:14:56.413,0
138,On Air Entertainment,2024-05-09 08:14:56.413,,1
139,OrosGaming,2022-08-25 12:15:36.583,,1
140,PearFictionStudios,2022-08-25 12:15:36.583,2024-04-11 12:05:15.650,0
140,Pear Fiction Studios,2024-04-11 12:05:15.650,,1
141,PGSoft,2022-08-25 12:15:36.583,,1
142,PlankGaming,2022-08-25 12:15:36.583,,1
143,Pulse8Studios,2022-08-25 12:15:36.583,,1
144,RealDealer,2022-08-25 12:15:36.583,2024-04-24 11:32:50.370,0
144,Real Dealer,2024-04-24 11:32:50.370,,1
145,SkillzGaming,2022-08-25 12:15:36.583,,1
146,SlingshotStudios,2022-08-25 12:15:36.583,2024-04-09 06:54:09.827,0
146,Slingshot Studios,2024-04-09 06:54:09.827,,1
147,Snowborn,2022-08-25 12:15:36.583,,1
148,SpinPlayGames,2022-08-25 12:15:36.583,2024-05-01 13:22:03.057,0
148,Spin Play Games,2024-05-01 13:22:03.057,,1
149,StormcraftStudios,2022-08-25 12:15:36.583,2024-07-23 10:09:45.240,0
149,Stormcraft Studios,2024-07-23 10:09:45.240,,1
150,SwitchStudios,2022-08-25 12:15:36.583,2024-04-08 12:43:03.723,0
150,Switch Studios,2024-04-08 12:43:03.723,,1
151,TripleEdgeStudios,2022-08-25 12:15:36.583,2024-05-02 12:59:02.530,0
151,Triple Edge Studios,2024-05-02 12:59:02.530,,1
152,Gong,2022-08-25 12:15:36.583,,1
153,SigmaGaming,2022-08-25 12:15:36.583,,1
154,ArmadilloStudios,2022-08-30 09:23:44.273,2024-04-01 11:33:07.530,0
154,Armadillo Studios,2024-04-01 11:33:07.530,,1
155,EGT,2022-09-06 11:00:20.367,2023-11-27 10:07:58.450,0
155,EGTGaming,2023-11-27 10:07:58.450,2024-05-15 08:38:00.437,0
155,EGTDigital,2024-05-15 08:38:00.437,,1
156,Evoplay,2022-09-06 11:00:20.380,,1
157,GameArt,2022-09-20 12:41:19.827,,1
158,BGaming,2022-10-25 12:34:00.183,,1
159,Funfair,2022-10-25 12:34:00.183,,1
160,BoomingGames,2022-10-25 12:34:00.340,2024-04-04 12:03:13.897,0
160,Booming Games,2024-04-04 12:03:13.897,,1
161,Bluberi,2022-11-10 13:04:20.803,2023-08-07 09:06:20.757,0
161,Bluberi Gaming,2023-08-07 09:06:20.757,2025-05-26 08:03:28.707,0
161,BluberiGaming,2025-05-26 08:03:28.707,,1
162,GamingCorps,2022-11-10 13:04:20.930,2024-04-07 22:34:38.743,0
162,Gaming Corps,2024-04-07 22:34:38.743,,1
163,Galaxys,2022-11-25 12:21:00.943,2022-12-20 12:30:36.277,0
163,Galaxsys,2022-12-20 12:30:36.277,,1
164,Spinberry,2022-12-08 08:56:40.757,,1
165,Arcadia,2022-12-14 11:53:45.950,,1
166,Ortiz,2022-12-15 13:08:55.547,,1
167,Zitro,2023-03-09 15:30:47.503,,1
168,WinFast,2022-12-21 09:48:45.317,,1
169,Netgaming,2023-01-23 09:20:57.357,,1
170,Spinomenal,2022-12-28 14:17:42.010,,1
171,FBMDS,2023-01-25 21:14:34.353,,1
172,Indigo Magic,2023-02-16 14:00:02.203,2023-03-06 10:29:43.153,0
172,IndigoMagic,2023-03-06 10:29:43.153,,1
174,Ezugi,2023-03-01 14:59:53.740,,1
175,MGA,2023-03-01 14:39:51.043,,1
